Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
60,Contagion,"$136,515,867","$75,658,097",55.4%,"$60,857,770",44.6%,2011.csv,2011
61,Unknown,"$135,710,029","$63,686,397",46.9%,"$72,023,632",53.1%,2011.csv,2011
62,The Artist,"$133,432,856","$44,671,682",33.5%,"$88,761,174",66.5%,2011.csv,2011
63,The Three Musketeers,"$132,274,484","$20,374,484",15.4%,"$111,900,000",84.6%,2011.csv,2011
64,We Bought a Zoo,"$120,081,841","$75,624,550",63%,"$44,457,291",37%,2011.csv,2011
65,Hankyu Railways - A 15-minute Miracle,"$118,799,256",-,-,"$118,799,256",100%,2011.csv,2011
66,Water for Elephants,"$117,094,902","$58,709,717",50.1%,"$58,385,185",49.9%,2011.csv,2011
67,The Iron Lady,"$115,890,699","$30,017,992",25.9%,"$85,872,707",74.1%,2011.csv,2011
68,Moneyball,"$110,206,216","$75,605,492",68.6%,"$34,600,724",31.4%,2011.csv,2011
69,Insidious,"$99,557,032","$54,009,150",54.2%,"$45,547,882",45.8%,2011.csv,2011
70,Justin Bieber: Never Say Never,"$99,036,827","$73,013,910",73.7%,"$26,022,917",26.3%,2011.csv,2011
71,Paul,"$97,984,015","$37,412,945",38.2%,"$60,571,070",61.8%,2011.csv,2011
72,Scream 4,"$97,138,686","$38,180,928",39.3%,"$58,957,758",60.7%,2011.csv,2011
73,The Rite,"$96,560,591","$33,047,633",34.2%,"$63,512,958",65.8%,2011.csv,2011
74,Dolphin Tale,"$95,932,565","$72,286,779",75.4%,"$23,645,786",24.6%,2011.csv,2011
75,Rien à déclarer,"$93,811,164",-,-,"$93,811,164",100%,2011.csv,2011
76,Season of the Witch,"$91,627,228","$24,827,228",27.1%,"$66,800,000",72.9%,2011.csv,2011
77,Red Riding Hood,"$90,260,376","$37,662,162",41.7%,"$52,598,214",58.3%,2011.csv,2011
78,Sucker Punch,"$89,792,502","$36,392,502",40.5%,"$53,400,000",59.5%,2011.csv,2011
79,The Inbetweeners,"$88,823,111","$36,000",<0.1%,"$88,787,111",100%,2011.csv,2011
80,The Lincoln Lawyer,"$86,752,352","$58,009,200",66.9%,"$28,743,152",33.1%,2011.csv,2011
81,Hall Pass,"$86,157,237","$45,060,734",52.3%,"$41,096,503",47.7%,2011.csv,2011
82,Spy Kids 4-D: All the Time in the World,"$85,564,310","$38,538,188",45%,"$47,026,122",55%,2011.csv,2011
83,J. Edgar,"$84,920,539","$37,306,030",43.9%,"$47,614,509",56.1%,2011.csv,2011
84,"Big Mommas: Like Father, Like Son","$82,686,066","$37,915,414",45.9%,"$44,770,652",54.1%,2011.csv,2011
85,Abduction,"$82,087,155","$28,087,155",34.2%,"$54,000,000",65.8%,2011.csv,2011
86,Tinker Tailor Soldier Spy,"$81,244,605","$24,149,393",29.7%,"$57,095,212",70.3%,2011.csv,2011
87,Priest,"$78,309,505","$29,137,000",37.2%,"$49,172,505",62.8%,2011.csv,2011
88,Drive,"$76,976,666","$35,061,555",45.5%,"$41,915,111",54.5%,2011.csv,2011
89,The Ides of March,"$76,338,111","$40,962,534",53.7%,"$35,375,577",46.3%,2011.csv,2011
90,The Mechanic,"$76,130,093","$29,121,498",38.3%,"$47,008,595",61.7%,2011.csv,2011
91,The Change-Up,"$75,450,437","$37,081,475",49.1%,"$38,368,962",50.9%,2011.csv,2011
92,Larry Crowne,"$75,055,070","$35,608,245",47.4%,"$39,446,825",52.6%,2011.csv,2011
93,Diary of a Wimpy Kid: Rodrick Rules,"$72,526,996","$52,698,535",72.7%,"$19,828,461",27.3%,2011.csv,2011
94,The Dilemma,"$69,721,966","$48,475,290",69.5%,"$21,246,676",30.5%,2011.csv,2011
95,Something Borrowed,"$65,100,369","$39,046,489",60%,"$26,053,880",40%,2011.csv,2011
96,The Darkest Hour,"$64,626,786","$21,443,494",33.2%,"$43,183,292",66.8%,2011.csv,2011
97,Hanna,"$63,782,078","$40,259,119",63.1%,"$23,522,959",36.9%,2011.csv,2011
98,Footloose 2011 Re-release,"$63,543,328","$51,802,742",81.5%,"$11,740,586",18.5%,2011.csv,2011
99,Conan the Barbarian,"$63,523,283","$21,295,021",33.5%,"$42,228,262",66.5%,2011.csv,2011
100,Colombiana,"$63,458,440","$36,665,854",57.8%,"$26,792,586",42.2%,2011.csv,2011
101,From Up on Poppy Hill,"$61,459,425","$1,002,895",1.6%,"$60,456,530",98.4%,2011.csv,2011
102,What a Beautiful Day,"$60,661,950",-,-,"$60,661,950",100%,2011.csv,2011
103,One Day,"$59,389,433","$13,843,771",23.3%,"$45,545,662",76.7%,2011.csv,2011
104,The Tree of Life,"$58,409,247","$13,303,319",22.8%,"$45,105,928",77.2%,2011.csv,2011
105,Beginning of the Great Revival,"$58,309,289","$151,000",0.3%,"$58,158,289",99.7%,2011.csv,2011
106,Killer Elite,"$57,084,522","$25,124,966",44%,"$31,959,556",56%,2011.csv,2011
107,Gekijouban Tenpesuto 3D,"$57,082,491",-,-,"$57,082,491",100%,2011.csv,2011
108,Silent Hill: Revelation,"$55,362,705","$17,529,157",31.7%,"$37,833,548",68.3%,2011.csv,2011
109,Extremely Loud & Incredibly Close,"$55,247,881","$31,847,881",57.6%,"$23,400,000",42.4%,2011.csv,2011
110,Madea's Big Happy Family,"$54,161,287","$53,345,287",98.5%,"$816,000",1.5%,2011.csv,2011
111,A Ghost of a Chance,"$53,982,636",-,-,"$53,982,636",100%,2011.csv,2011
112,Sunny,"$51,116,421",-,-,"$51,116,421",100%,2011.csv,2011
113,War of the Arrows,"$50,587,661","$251,200",0.5%,"$50,336,461",99.5%,2011.csv,2011
114,Kokowääh,"$50,447,784",-,-,"$50,447,784",100%,2011.csv,2011
115,Winnie the Pooh,"$49,871,429","$26,692,846",53.5%,"$23,178,583",46.5%,2011.csv,2011
116,Arthur,"$48,147,945","$33,035,397",68.6%,"$15,112,548",31.4%,2011.csv,2011
117,Soul Surfer,"$47,120,948","$43,853,424",93.1%,"$3,267,524",6.9%,2011.csv,2011
118,The Debt,"$45,636,368","$31,177,548",68.3%,"$14,458,820",31.7%,2011.csv,2011
119,Beastly,"$43,202,283","$27,865,571",64.5%,"$15,336,712",35.5%,2011.csv,2011
120,Detective Conan: Quarter of Silence,"$42,808,575",-,-,"$42,808,575",100%,2011.csv,2011
121,Shaolin,"$42,741,494","$66,099",0.2%,"$42,675,395",99.8%,2011.csv,2011
122,Born to Be Wild,"$41,644,475","$25,978,556",62.4%,"$15,665,919",37.6%,2011.csv,2011
123,Shark Night,"$41,363,927","$18,877,153",45.6%,"$22,486,774",54.4%,2011.csv,2011
124,50/50,"$41,097,853","$35,014,192",85.2%,"$6,083,661",14.8%,2011.csv,2011
125,Fright Night,"$41,002,607","$18,302,607",44.6%,"$22,700,000",55.4%,2011.csv,2011
126,Drive Angry,"$40,909,909","$10,721,033",26.2%,"$30,188,876",73.8%,2011.csv,2011
127,30 Minutes or Less,"$40,662,632","$37,053,924",91.1%,"$3,608,708",8.9%,2011.csv,2011
128,Gantz,"$40,568,961",-,-,"$40,568,961",100%,2011.csv,2011
129,The Roommate,"$40,492,652","$37,300,000",92.1%,"$3,192,652",7.9%,2011.csv,2011
130,SP: The Motion Picture II,"$40,255,101",-,-,"$40,255,101",100%,2011.csv,2011
131,Dream House,"$39,984,400","$21,302,340",53.3%,"$18,682,060",46.7%,2011.csv,2011
132,Monte Carlo,"$39,782,683","$23,186,769",58.3%,"$16,595,914",41.7%,2011.csv,2011
133,Eiga Kaibutsukun,"$39,766,344",-,-,"$39,766,344",100%,2011.csv,2011
134,Mars Needs Moms,"$39,233,678","$21,392,758",54.5%,"$17,840,920",45.5%,2011.csv,2011
135,The Crown Jewels,"$39,000,000",-,-,"$39,000,000",100%,2011.csv,2011
136,Don't Be Afraid of the Dark,"$38,269,529","$24,046,682",62.8%,"$14,222,847",37.2%,2011.csv,2011
137,Jumping the Broom,"$38,158,601","$37,295,394",97.7%,"$863,207",2.3%,2011.csv,2011
138,One for the Money,"$38,080,789","$26,414,527",69.4%,"$11,666,262",30.6%,2011.csv,2011
139,The Eagle,"$37,989,684","$19,490,041",51.3%,"$18,499,643",48.7%,2011.csv,2011
140,A Very Harold & Kumar Christmas,"$36,192,775","$35,061,031",96.9%,"$1,131,744",3.1%,2011.csv,2011
141,Ra.One,"$35,911,689","$2,511,689",7%,"$33,400,000",93%,2011.csv,2011
142,Courageous,"$35,185,884","$34,522,221",98.1%,"$663,663",1.9%,2011.csv,2011
143,My Week with Marilyn,"$35,057,696","$14,600,347",41.6%,"$20,457,349",58.4%,2011.csv,2011
144,The Sitter,"$34,942,188","$30,441,326",87.1%,"$4,500,862",12.9%,2011.csv,2011
145,Jane Eyre,"$34,710,627","$11,242,660",32.4%,"$23,467,967",67.6%,2011.csv,2011
146,The Skin I Live In,"$33,678,406","$3,185,812",9.5%,"$30,492,594",90.5%,2011.csv,2011
147,Gantz: Perfect Answer,"$33,672,515",-,-,"$33,672,515",100%,2011.csv,2011
148,Punch,"$33,556,725",-,-,"$33,556,725",100%,2011.csv,2011
149,Detective K: Secret of Virtuous Widow,"$32,358,664",-,-,"$32,358,664",100%,2011.csv,2011
150,Bodyguard,"$31,516,209","$1,834,384",5.8%,"$29,681,825",94.2%,2011.csv,2011
151,The Thing,"$31,505,287","$16,928,670",53.7%,"$14,576,617",46.3%,2011.csv,2011
152,I Don't Know How She Does It,"$31,410,151","$9,662,284",30.8%,"$21,747,867",69.2%,2011.csv,2011
153,"All's Well, Ends Well 2011","$31,335,572",-,-,"$31,335,572",100%,2011.csv,2011
154,Vysotsky. Thank You for Being Alive,"$31,016,553",-,-,"$31,016,553",100%,2011.csv,2011
155,Silenced,"$30,996,130",-,-,"$30,996,130",100%,2011.csv,2011
156,African Cats,"$30,857,747","$15,428,747",50%,"$15,429,000",50%,2011.csv,2011
157,Carnage,"$30,722,632","$2,547,047",8.3%,"$28,175,585",91.7%,2011.csv,2011
158,A Dangerous Method,"$30,519,436","$5,704,709",18.7%,"$24,814,727",81.3%,2011.csv,2011
