Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
76,Promising Young Woman,"$17,135,557","$6,460,965",37.7%,"$10,674,592",62.3%,2020.csv,2020
77,Digimon Adventure: Last Evolution Kizuna,"$17,096,687",-,-,"$17,096,687",100%,2020.csv,2020
78,Bye Bye Morons,"$16,955,173",-,-,"$16,955,173",100%,2020.csv,2020
79,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%,2020.csv,2020
80,I Still Believe,"$16,064,280","$9,868,521",61.4%,"$6,195,759",38.6%,2020.csv,2020
81,Freaky,"$15,920,855","$9,030,855",56.7%,"$6,890,000",43.3%,2020.csv,2020
82,Padre no hay más que uno 2: La llegada de la suegra,"$15,373,181",-,-,"$15,373,181",100%,2020.csv,2020
83,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%,2020.csv,2020
84,The Personal History of David Copperfield,"$14,399,270","$1,876,298",13%,"$12,522,972",87%,2020.csv,2020
85,Nightlife,"$14,308,789",-,-,"$14,308,789",100%,2020.csv,2020
86,Pawn,"$14,193,957",-,-,"$14,193,957",100%,2020.csv,2020
87,#Alive,"$13,432,212",-,-,"$13,432,212",100%,2020.csv,2020
88,Howling Village,"$13,394,556",-,-,"$13,394,556",100%,2020.csv,2020
89,Come Play,"$13,182,254","$10,475,990",79.5%,"$2,706,264",20.5%,2020.csv,2020
90,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%,2020.csv,2020
91,News of the World,"$12,668,325","$12,668,325",100%,-,-,2020.csv,2020
92,Collectors,"$12,640,113",-,-,"$12,640,113",100%,2020.csv,2020
93,Another Round,"$12,475,919",-,-,"$12,475,919",100%,2020.csv,2020
94,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,221,804",-,-,"$12,221,804",100%,2020.csv,2020
95,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%,2020.csv,2020
96,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%,2020.csv,2020
97,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%,2020.csv,2020
98,Let Him Go,"$11,630,934","$9,358,025",80.5%,"$2,272,909",19.5%,2020.csv,2020
99,The Hunt,"$11,481,750","$5,812,500",50.6%,"$5,669,250",49.4%,2020.csv,2020
100,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%,2020.csv,2020
101,30 jours max,"$10,982,693",-,-,"$10,982,693",100%,2020.csv,2020
102,Bigfoot Family,"$10,798,771",-,-,"$10,798,771",100%,2020.csv,2020
103,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%,2020.csv,2020
104,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-,2020.csv,2020
105,One Second,"$10,629,463",-,-,"$10,629,463",100%,2020.csv,2020
106,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%,2020.csv,2020
107,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%,2020.csv,2020
108,My Spy,"$10,200,000",-,-,"$10,200,000",100%,2020.csv,2020
109,The Asadas,"$10,066,797",-,-,"$10,066,797",100%,2020.csv,2020
110,Beauty and the Beast 2020 Re-release,"$10,055,094","$467,000",4.6%,"$9,588,094",95.4%,2020.csv,2020
111,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%,2020.csv,2020
112,10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%,2020.csv,2020
113,Secret Zoo,"$9,471,940",-,-,"$9,471,940",100%,2020.csv,2020
114,365 Days,"$9,458,590",-,-,"$9,458,590",100%,2020.csv,2020
115,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%,2020.csv,2020
116,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%,2020.csv,2020
117,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%,2020.csv,2020
118,100% Wolf,"$8,983,607","$658,764",7.3%,"$8,324,843",92.7%,2020.csv,2020
119,Malasaña 32,"$8,968,845",-,-,"$8,968,845",100%,2020.csv,2020
120,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%,2020.csv,2020
121,The Closet,"$8,948,595",-,-,"$8,948,595",100%,2020.csv,2020
122,I Hate Summer,"$8,926,071",-,-,"$8,926,071",100%,2020.csv,2020
123,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%,2020.csv,2020
124,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%,2020.csv,2020
125,The Secret Garden,"$8,721,243",-,-,"$8,721,243",100%,2020.csv,2020
126,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%,2020.csv,2020
127,Malang,"$8,399,765",-,-,"$8,399,765",100%,2020.csv,2020
128,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%,2020.csv,2020
129,AI Amok,"$7,932,191",-,-,"$7,932,191",100%,2020.csv,2020
130,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%,2020.csv,2020
131,Antoinette dans les Cévennes,"$7,790,369",-,-,"$7,790,369",100%,2020.csv,2020
132,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%,2020.csv,2020
133,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%,2020.csv,2020
134,Smack Dab Kakha,"$7,692,780",-,-,"$7,692,780",100%,2020.csv,2020
135,Two by Two: Overboard!,"$7,682,182",-,-,"$7,682,182",100%,2020.csv,2020
136,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%,2020.csv,2020
137,The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%,2020.csv,2020
138,De Gaulle,"$7,498,168",-,-,"$7,498,168",100%,2020.csv,2020
139,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%,2020.csv,2020
140,Bohemian Rhapsody 2020 Re-release,"$7,445,468","$240,000",3.2%,"$7,205,468",96.8%,2020.csv,2020
141,"Turu, the Wacky Hen","$7,416,960",-,-,"$7,416,960",100%,2020.csv,2020
142,Mamma Mia! Here We Go Again 2020 Re-release,"$7,209,678",-,-,"$7,209,678",100%,2020.csv,2020
143,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%,2020.csv,2020
144,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%,2020.csv,2020
145,Adu,"$7,085,946",-,-,"$7,085,946",100%,2020.csv,2020
146,Antebellum,"$7,060,384",-,-,"$7,060,384",100%,2020.csv,2020
147,The Best Years,"$7,049,295",-,-,"$7,049,295",100%,2020.csv,2020
148,Fatale,"$7,031,289","$6,306,897",89.7%,"$724,392",10.3%,2020.csv,2020
149,Spycies,"$7,030,092",-,-,"$7,030,092",100%,2020.csv,2020
150,Jim Button and the Wild 13,"$6,923,076",-,-,"$6,923,076",100%,2020.csv,2020
151,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%,2020.csv,2020
152,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%,2020.csv,2020
153,Dragon Rider,"$6,661,040",-,-,"$6,661,040",100%,2020.csv,2020
154,Innocence,"$6,659,968",-,-,"$6,659,968",100%,2020.csv,2020
155,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%,2020.csv,2020
156,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%,2020.csv,2020
157,"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%,2020.csv,2020
158,Hammamet,"$6,434,874",-,-,"$6,434,874",100%,2020.csv,2020
159,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%,2020.csv,2020
160,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%,2020.csv,2020
161,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%,2020.csv,2020
162,Simply Black,"$6,323,750",-,-,"$6,323,750",100%,2020.csv,2020
163,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%,2020.csv,2020
164,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%,2020.csv,2020
165,Hotel Belgrade,"$6,199,413",-,-,"$6,199,413",100%,2020.csv,2020
166,How to Be a Good Wife,"$6,029,102",-,-,"$6,029,102",100%,2020.csv,2020
167,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%,2020.csv,2020
168,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%,2020.csv,2020
169,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%,2020.csv,2020
170,The Lion King 2020 Re-release,"$5,948,352",-,-,"$5,948,352",100%,2020.csv,2020
171,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%,2020.csv,2020
172,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%,2020.csv,2020
173,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%,2020.csv,2020
174,Last Letter,"$5,663,972",-,-,"$5,663,972",100%,2020.csv,2020
175,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%,2020.csv,2020
176,Hocus Pocus 2020 Re-release,"$5,609,193","$4,828,000",86.1%,"$781,193",13.9%,2020.csv,2020
177,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%,2020.csv,2020
178,Mama Weed,"$5,408,390","$29,151",0.5%,"$5,379,239",99.5%,2020.csv,2020
179,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%,2020.csv,2020
180,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%,2020.csv,2020
181,Run,"$5,184,368",-,-,"$5,184,368",100%,2020.csv,2020
182,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%,2020.csv,2020
183,Masked Ward,"$5,107,013",-,-,"$5,107,013",100%,2020.csv,2020
184,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%,2020.csv,2020
185,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%,2020.csv,2020
186,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%,2020.csv,2020
187,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%,2020.csv,2020
188,Mayday,"$5,011,408",-,-,"$5,011,408",100%,2020.csv,2020
189,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%,2020.csv,2020
190,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%,2020.csv,2020
191,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%,2020.csv,2020
192,Military Wives,"$4,889,252",-,-,"$4,889,252",100%,2020.csv,2020
193,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%,2020.csv,2020
194,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%,2020.csv,2020
195,Streltsov,"$4,850,073",-,-,"$4,850,073",100%,2020.csv,2020
196,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-,2020.csv,2020
197,The Empty Man,"$4,796,993","$2,992,948",62.4%,"$1,804,045",37.6%,2020.csv,2020
198,The Vets,"$4,788,826",-,-,"$4,788,826",100%,2020.csv,2020
199,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%,2020.csv,2020
200,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%,2020.csv,2020
1,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",46.5%,"$712,358,507",53.5%,2017.csv,2017
2,Beauty and the Beast,"$1,263,521,126","$504,014,165",39.9%,"$759,506,961",60.1%,2017.csv,2017
3,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%,2017.csv,2017
4,Despicable Me 3,"$1,034,799,409","$264,624,300",25.6%,"$770,175,109",74.4%,2017.csv,2017
5,Jumanji: Welcome to the Jungle,"$962,077,546","$404,515,480",42%,"$557,562,066",58%,2017.csv,2017
6,Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%,2017.csv,2017
7,Wolf Warrior 2,"$870,325,439","$2,721,100",0.3%,"$867,604,339",99.7%,2017.csv,2017
8,Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.1%,"$473,942,950",54.9%,2017.csv,2017
9,Thor: Ragnarok,"$853,977,126","$315,058,289",36.9%,"$538,918,837",63.1%,2017.csv,2017
10,Wonder Woman,"$821,847,012","$412,563,408",50.2%,"$409,283,604",49.8%,2017.csv,2017
11,Coco,"$807,816,196","$210,460,015",26.1%,"$597,356,181",73.9%,2017.csv,2017
12,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794","$172,558,876",21.7%,"$622,302,918",78.3%,2017.csv,2017
13,It,"$700,381,748","$327,481,748",46.8%,"$372,900,000",53.2%,2017.csv,2017
14,Justice League,"$657,924,295","$229,024,295",34.8%,"$428,900,000",65.2%,2017.csv,2017
15,Logan,"$619,021,436","$226,277,068",36.6%,"$392,744,368",63.4%,2017.csv,2017
16,Transformers: The Last Knight,"$605,425,157","$130,168,683",21.5%,"$475,256,474",78.5%,2017.csv,2017
17,Kong: Skull Island,"$566,652,812","$168,052,812",29.7%,"$398,600,000",70.3%,2017.csv,2017
18,The Boss Baby,"$527,965,936","$175,003,033",33.1%,"$352,962,903",66.9%,2017.csv,2017
19,Dunkirk,"$525,245,546","$188,045,546",35.8%,"$337,200,000",64.2%,2017.csv,2017
20,War for the Planet of the Apes,"$490,719,763","$146,880,162",29.9%,"$343,839,601",70.1%,2017.csv,2017
21,The Greatest Showman,"$434,993,183","$174,340,174",40.1%,"$260,653,009",59.9%,2017.csv,2017
22,Kingsman: The Golden Circle,"$410,902,662","$100,234,838",24.4%,"$310,667,824",75.6%,2017.csv,2017
23,The Mummy,"$409,231,607","$80,227,895",19.6%,"$329,003,712",80.4%,2017.csv,2017
24,Cars 3,"$383,930,656","$152,901,115",39.8%,"$231,029,541",60.2%,2017.csv,2017
25,Fifty Shades Darker,"$381,545,846","$114,581,250",30%,"$266,964,596",70%,2017.csv,2017
26,Murder on the Orient Express,"$352,789,811","$102,826,543",29.1%,"$249,963,268",70.9%,2017.csv,2017
27,xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%,2017.csv,2017
28,Never Say Die,"$334,530,869",-,-,"$334,530,869",100%,2017.csv,2017
29,The Lego Batman Movie,"$311,950,384","$175,750,384",56.3%,"$136,200,000",43.7%,2017.csv,2017
30,The Ex-File 3: The Return of The Exes,"$307,592,427","$838,959",0.3%,"$306,753,468",99.7%,2017.csv,2017
31,Annabelle: Creation,"$306,515,884","$102,092,201",33.3%,"$204,423,683",66.7%,2017.csv,2017
32,Wonder,"$305,937,718","$132,422,809",43.3%,"$173,514,909",56.7%,2017.csv,2017
33,Ferdinand,"$296,069,199","$84,410,380",28.5%,"$211,658,819",71.5%,2017.csv,2017
34,Split,"$278,454,358","$138,291,365",49.7%,"$140,162,993",50.3%,2017.csv,2017
35,Blade Runner 2049,"$259,239,658","$92,054,159",35.5%,"$167,185,499",64.5%,2017.csv,2017
36,Kung Fu Yoga,"$257,743,016","$362,657",0.1%,"$257,380,359",99.9%,2017.csv,2017
37,Get Out,"$255,407,969","$176,040,665",68.9%,"$79,367,304",31.1%,2017.csv,2017
38,Baahubali 2: The Conclusion,"$254,158,390","$20,186,659",7.9%,"$233,971,731",92.1%,2017.csv,2017
39,Journey to the West: The Demons Strike Back,"$247,585,244","$880,346",0.4%,"$246,704,898",99.6%,2017.csv,2017
40,Alien: Covenant,"$240,891,763","$74,262,031",30.8%,"$166,629,732",69.2%,2017.csv,2017
41,Paddington 2,"$227,978,523","$40,891,591",17.9%,"$187,086,932",82.1%,2017.csv,2017
42,Youth,"$227,091,290","$1,891,956",0.8%,"$225,199,334",99.2%,2017.csv,2017
43,Baby Driver,"$226,945,087","$107,825,862",47.5%,"$119,119,225",52.5%,2017.csv,2017
44,Valerian and the City of a Thousand Planets,"$225,874,228","$41,189,488",18.2%,"$184,684,740",81.8%,2017.csv,2017
45,Geostorm,"$221,600,160","$33,700,160",15.2%,"$187,900,000",84.8%,2017.csv,2017
46,The Emoji Movie,"$217,776,646","$86,089,513",39.5%,"$131,687,133",60.5%,2017.csv,2017
47,A Dog's Purpose,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%,2017.csv,2017
48,Smurfs: The Lost Village,"$197,183,546","$45,020,282",22.8%,"$152,163,264",77.2%,2017.csv,2017
49,The Shape of Water,"$195,333,312","$63,859,435",32.7%,"$131,473,877",67.3%,2017.csv,2017
50,Pitch Perfect 3,"$185,400,345","$104,897,530",56.6%,"$80,502,815",43.4%,2017.csv,2017
51,Daddy's Home 2,"$180,613,180","$104,029,443",57.6%,"$76,583,737",42.4%,2017.csv,2017
52,The Post,"$179,769,457","$81,903,458",45.6%,"$97,865,999",54.4%,2017.csv,2017
53,Baywatch,"$177,856,751","$58,060,186",32.6%,"$119,796,565",67.4%,2017.csv,2017
54,The Hitman's Bodyguard,"$176,586,701","$75,468,583",42.7%,"$101,118,118",57.3%,2017.csv,2017
55,John Wick: Chapter 2,"$171,539,887","$92,029,184",53.6%,"$79,510,703",46.4%,2017.csv,2017
56,Ghost in the Shell,"$169,801,921","$40,563,557",23.9%,"$129,238,364",76.1%,2017.csv,2017
57,"Three Billboards Outside Ebbing, Missouri","$160,192,031","$54,513,740",34%,"$105,678,291",66%,2017.csv,2017
58,Duckweed,"$152,894,264","$471,575",0.3%,"$152,422,689",99.7%,2017.csv,2017
59,Darkest Hour,"$150,847,207","$56,468,410",37.4%,"$94,378,797",62.6%,2017.csv,2017
60,King Arthur: Legend of the Sword,"$148,675,066","$39,175,066",26.3%,"$109,500,000",73.7%,2017.csv,2017
61,The Foreigner,"$145,374,099","$34,393,507",23.7%,"$110,980,592",76.3%,2017.csv,2017
62,Power Rangers,"$142,337,240","$85,364,450",60%,"$56,972,790",40%,2017.csv,2017
63,Girls Trip,"$140,552,359","$115,171,585",81.9%,"$25,380,774",18.1%,2017.csv,2017
64,American Made,"$134,866,593","$51,342,000",38.1%,"$83,524,593",61.9%,2017.csv,2017
65,A Bad Moms Christmas,"$130,560,428","$72,110,659",55.2%,"$58,449,769",44.8%,2017.csv,2017
66,Happy Death Day,"$125,479,266","$55,683,845",44.4%,"$69,795,421",55.6%,2017.csv,2017
67,Captain Underpants: The First Epic Movie,"$125,427,681","$73,921,000",58.9%,"$51,506,681",41.1%,2017.csv,2017
68,The Lego Ninjago Movie,"$123,081,555","$59,281,555",48.2%,"$63,800,000",51.8%,2017.csv,2017
69,Secret Superstar,"$122,026,260",-,-,"$122,026,260",100%,2017.csv,2017
70,The Commuter,"$119,942,387","$36,343,858",30.3%,"$83,598,529",69.7%,2017.csv,2017
71,Forever Young,"$119,055,731",-,-,"$119,055,731",100%,2017.csv,2017
72,The Dark Tower,"$113,231,078","$50,701,325",44.8%,"$62,529,753",55.2%,2017.csv,2017
73,Buddies in India,"$110,155,128","$293,194",0.3%,"$109,861,934",99.7%,2017.csv,2017
74,Along With the Gods: The Two Worlds,"$109,383,972","$1,908,823",1.7%,"$107,475,149",98.3%,2017.csv,2017
75,Immortal Demon Slayer,"$103,818,506",-,-,"$103,818,506",100%,2017.csv,2017
76,Jigsaw,"$102,952,888","$38,052,832",37%,"$64,900,056",63%,2017.csv,2017
77,Life,"$100,541,806","$30,234,022",30.1%,"$70,307,784",69.9%,2017.csv,2017
78,Atomic Blonde,"$100,014,025","$51,687,870",51.7%,"$48,326,155",48.3%,2017.csv,2017
79,Legend of the Demon Cat,"$97,051,623",-,-,"$97,051,623",100%,2017.csv,2017
80,The Shack,"$96,942,115","$57,386,418",59.2%,"$39,555,697",40.8%,2017.csv,2017
81,Chasing the Dragon,"$87,965,942","$456,854",0.5%,"$87,509,088",99.5%,2017.csv,2017
82,Tiger Zinda Hai,"$87,320,000","$5,560,921",6.4%,"$81,759,079",93.6%,2017.csv,2017
83,A Taxi Driver,"$86,252,940","$1,527,829",1.8%,"$84,725,111",98.2%,2017.csv,2017
84,Going in Style,"$84,918,541","$45,018,541",53%,"$39,900,000",47%,2017.csv,2017
85,Rings,"$83,080,890","$27,793,018",33.5%,"$55,287,872",66.5%,2017.csv,2017
86,Once Upon A Time,"$82,886,178","$485,728",0.6%,"$82,400,450",99.4%,2017.csv,2017
87,Paradox,"$79,226,860",-,-,"$79,226,860",100%,2017.csv,2017
88,Lady Bird,"$78,965,611","$48,958,273",62%,"$30,007,338",38%,2017.csv,2017
89,Fantastica: A Boonie Bears Adventure,"$77,151,096",-,-,"$77,151,096",100%,2017.csv,2017
90,The Nut Job 2: Nutty by Nature,"$68,743,485","$28,370,522",41.3%,"$40,372,963",58.7%,2017.csv,2017
91,American Assassin,"$67,234,188","$36,249,674",53.9%,"$30,984,514",46.1%,2017.csv,2017
92,Victoria & Abdul,"$66,558,465","$22,245,070",33.4%,"$44,313,395",66.6%,2017.csv,2017
93,Suck Me Shakespeer 3,"$64,236,772",-,-,"$64,236,772",100%,2017.csv,2017
94,Detective Conan: Crimson Love Letter,"$63,144,805",-,-,"$63,144,805",100%,2017.csv,2017
95,The Mountain Between Us,"$62,832,209","$30,348,555",48.3%,"$32,483,654",51.7%,2017.csv,2017
96,The Star,"$62,812,974","$40,852,824",65%,"$21,960,150",35%,2017.csv,2017
97,How to Be a Latin Lover,"$62,547,032","$32,149,404",51.4%,"$30,397,628",48.6%,2017.csv,2017
98,47 Meters Down,"$62,187,529","$44,307,191",71.2%,"$17,880,338",28.8%,2017.csv,2017
99,"Everything, Everything","$61,621,140","$34,121,140",55.4%,"$27,500,000",44.6%,2017.csv,2017
100,Doraemon: Great Adventure in the Antarctic Kachi Kochi,"$61,153,455",-,-,"$61,153,455",100%,2017.csv,2017
101,Snatched,"$60,845,711","$45,852,178",75.4%,"$14,993,533",24.6%,2017.csv,2017
102,The Founding of an Army,"$60,600,361",-,-,"$60,600,361",100%,2017.csv,2017
103,My Little Pony: The Movie,"$60,330,833","$21,885,107",36.3%,"$38,445,726",63.7%,2017.csv,2017
104,Molly's Game,"$59,284,015","$28,780,744",48.5%,"$30,503,271",51.5%,2017.csv,2017
105,The Devotion of Suspect X,"$59,035,664","$686,435",1.2%,"$58,349,229",98.8%,2017.csv,2017
106,Shock Wave,"$58,815,633",-,-,"$58,815,633",100%,2017.csv,2017
107,Goldbuster,"$57,628,292","$186,135",0.3%,"$57,442,157",99.7%,2017.csv,2017
108,All the Money in the World,"$56,996,304","$25,113,707",44.1%,"$31,882,597",55.9%,2017.csv,2017
109,The Big Sick,"$56,411,585","$42,873,127",76%,"$13,538,458",24%,2017.csv,2017
110,Gongjo,"$55,972,241","$475,618",0.8%,"$55,496,623",99.2%,2017.csv,2017
111,All Eyez on Me,"$55,668,698","$44,922,302",80.7%,"$10,746,396",19.3%,2017.csv,2017
112,Downsizing,"$55,003,890","$24,449,754",44.5%,"$30,554,136",55.5%,2017.csv,2017
113,"I, Tonya","$53,939,297","$30,014,539",55.6%,"$23,924,758",44.4%,2017.csv,2017
114,1987: When the Day Comes,"$53,834,292",-,-,"$53,834,292",100%,2017.csv,2017
115,The Outlaws,"$52,946,454",-,-,"$52,946,454",100%,2017.csv,2017
116,Bleeding Steel,"$48,825,526",-,-,"$48,825,526",100%,2017.csv,2017
117,Logan Lucky,"$48,453,605","$27,780,977",57.3%,"$20,672,628",42.7%,2017.csv,2017
118,Boo 2! A Madea Halloween,"$48,333,932","$47,319,572",97.9%,"$1,014,360",2.1%,2017.csv,2017
119,Sky Hunter,"$48,065,601",-,-,"$48,065,601",100%,2017.csv,2017
120,Phantom Thread,"$47,756,590","$21,198,205",44.4%,"$26,558,385",55.6%,2017.csv,2017
121,Rough Night,"$47,347,283","$22,105,643",46.7%,"$25,241,640",53.3%,2017.csv,2017
122,Son of Bigfoot,"$47,046,281","$289,308",0.6%,"$46,756,973",99.4%,2017.csv,2017
123,Three Seconds,"$46,596,415",-,-,"$46,596,415",100%,2017.csv,2017
124,The Thousand Faces of Dunjia,"$46,263,237","$124,187",0.3%,"$46,139,050",99.7%,2017.csv,2017
125,The Battleship Island,"$46,183,383","$1,104,957",2.4%,"$45,078,426",97.6%,2017.csv,2017
126,Hanson and the Beast,"$46,154,323",-,-,"$46,154,323",100%,2017.csv,2017
127,Gintama Live Action the Movie,"$45,746,967",-,-,"$45,746,967",100%,2017.csv,2017
128,Guilty of Mind,"$45,698,503",-,-,"$45,698,503",100%,2017.csv,2017
129,Flatliners,"$45,158,254","$16,883,115",37.4%,"$28,275,139",62.6%,2017.csv,2017
130,Bad Genius,"$44,560,421",-,-,"$44,560,421",100%,2017.csv,2017
131,Mother!,"$44,516,999","$17,800,004",40%,"$26,716,995",60%,2017.csv,2017
132,Wind River,"$43,980,821","$33,800,859",76.9%,"$10,179,962",23.1%,2017.csv,2017
133,Battle of Memories,"$43,892,362","$594,552",1.4%,"$43,297,810",98.6%,2017.csv,2017
134,The Snowman,"$43,155,261","$6,700,035",15.5%,"$36,455,226",84.5%,2017.csv,2017
135,Gifted,"$43,046,590","$24,801,212",57.6%,"$18,245,378",42.4%,2017.csv,2017
136,Loving Vincent,"$42,187,665","$6,735,118",16%,"$35,452,547",84%,2017.csv,2017
137,Mary and the Witch's Flower,"$41,978,431","$2,418,404",5.8%,"$39,560,027",94.2%,2017.csv,2017
138,Call Me by Your Name,"$41,887,595","$18,095,701",43.2%,"$23,791,894",56.8%,2017.csv,2017
139,T2 Trainspotting,"$41,681,746","$2,402,004",5.8%,"$39,279,742",94.2%,2017.csv,2017
140,Fist Fight,"$41,087,017","$32,187,017",78.3%,"$8,900,000",21.7%,2017.csv,2017
141,The Circle,"$40,656,399","$20,497,844",50.4%,"$20,158,555",49.6%,2017.csv,2017
142,Diary of a Wimpy Kid: The Long Haul,"$40,140,972","$20,738,724",51.7%,"$19,402,248",48.3%,2017.csv,2017
143,Brotherhood of Blades 2,"$39,966,092","$14,204",<0.1%,"$39,951,888",100%,2017.csv,2017
144,Midnight Runners,"$39,730,433",-,-,"$39,730,433",100%,2017.csv,2017
145,The King,"$37,886,707",-,-,"$37,886,707",100%,2017.csv,2017
146,Pokémon the Movie: I Choose You!,"$37,552,144","$2,401,722",6.4%,"$35,150,422",93.6%,2017.csv,2017
147,Home Again,"$37,270,721","$27,020,284",72.5%,"$10,250,437",27.5%,2017.csv,2017
148,The Adventurers,"$36,796,816","$216,556",0.6%,"$36,580,260",99.4%,2017.csv,2017
149,"Tad, the Lost Explorer, and the Secret of King Midas","$35,704,046","$5,874",<0.1%,"$35,698,172",100%,2017.csv,2017
150,Hostiles,"$35,669,017","$29,819,114",83.6%,"$5,849,903",16.4%,2017.csv,2017
151,Namiya,"$35,351,623","$70,814",0.2%,"$35,280,809",99.8%,2017.csv,2017
152,Destiny: The Tale of Kamakura,"$35,166,640",-,-,"$35,166,640",100%,2017.csv,2017
153,The Liquidator,"$35,046,130",-,-,"$35,046,130",100%,2017.csv,2017
154,Kidnap,"$34,814,102","$30,971,040",89%,"$3,843,062",11%,2017.csv,2017
155,R.A.I.D. Special Unit,"$34,598,750",-,-,"$34,598,750",100%,2017.csv,2017
156,The House,"$34,184,504","$25,584,504",74.8%,"$8,600,000",25.2%,2017.csv,2017
157,I Want to Eat Your Pancreas,"$33,748,006","$277,019",0.8%,"$33,470,987",99.2%,2017.csv,2017
158,Perfect Strangers,"$33,262,366","$1,014,507",3.1%,"$32,247,859",96.9%,2017.csv,2017
159,Sleepless,"$32,917,353","$20,783,704",63.1%,"$12,133,649",36.9%,2017.csv,2017
