Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
280,Mojin: The Lost Legend,259368448,1243810,258124638,2015.csv,2015,0.4795533186827721,99.52044668131722
281,Blade Runner 2049,259239658,92054159,167185499,2017.csv,2017,35.509288860425826,64.49071113957417
282,Parasite,258632621,53369749,205262872,2019.csv,2019,20.63535094438068,79.36464905561932
283,Kung Fu Yoga,257743016,362657,257380359,2017.csv,2017,0.14070487946800467,99.859295120532
284,Annabelle,257047661,84273813,172773848,2014.csv,2014,32.78528684997449,67.2147131500255
285,Lost in Hong Kong,256283912,1302281,254981631,2015.csv,2015,0.5081399725161054,99.4918600274839
286,Pegasus,255863112,0,255863112,2019.csv,2019,0.0,100.0
287,Halloween,255485178,159342015,96143163,2018.csv,2018,62.36839892136522,37.63160107863479
288,Get Out,255407969,176040665,79367304,2017.csv,2017,68.92528282858707,31.074717171412924
289,Us,255184580,175084580,80100000,2019.csv,2019,68.61095603817441,31.389043961825593
290,Baahubali 2: The Conclusion,254158390,20186659,233971731,2017.csv,2017,7.942550706274147,92.05744929372585
291,Men in Black: International,253890701,80001807,173888894,2019.csv,2019,31.510333653377877,68.48966634662213
292,X-Men: Dark Phoenix,252442974,65845974,186597000,2019.csv,2019,26.083504308580995,73.916495691419
293,American Hustle,251171807,150117807,101054000,2013.csv,2013,59.76698133162692,40.23301866837308
294,Journey to the West: The Demons Strike Back,247585244,880346,246704898,2017.csv,2017,0.3555728870497629,99.64442711295024
295,Glass,246999039,111048468,135950571,2019.csv,2019,44.95906884884682,55.04093115115318
296,Grown Ups 2,246984278,133668525,113315753,2013.csv,2013,54.120256593822546,45.87974340617746
297,The Peanuts Movie,246233113,130178411,116054702,2015.csv,2015,52.86795484732389,47.13204515267611
298,Rango,245724603,123477607,122246996,2011.csv,2011,50.25040451484624,49.749595485153755
299,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,163572247,2016.csv,2016,33.40538863311025,66.59461136688975
300,Dark Shadows,245527149,79727149,165800000,2012.csv,2012,32.47182616045446,67.52817383954553
301,The Bravest,245179562,290217,244889345,2019.csv,2019,0.11836916488169598,99.8816308351183
302,Pixels,244874809,78747585,166127224,2015.csv,2015,32.15830379677805,67.84169620322194
303,Hercules,244819862,72688614,172131248,2014.csv,2014,29.690652304999666,70.30934769500034
304,After Earth,243611982,60522097,183089885,2013.csv,2013,24.84364541642291,75.15635458357708
305,Daddy's Home,242786137,150357137,92429000,2015.csv,2015,61.929869167118056,38.070130832881944
306,RoboCop,242688965,58607007,184081958,2014.csv,2014,24.149020125410317,75.85097987458968
307,Alien: Covenant,240891763,74262031,166629732,2017.csv,2017,30.82796608533269,69.17203391466731
308,Sully,240797623,125070033,115727590,2016.csv,2016,51.93989518742052,48.06010481257948
309,Assassin's Creed,240697856,54647948,186049908,2016.csv,2016,22.70396126835463,77.29603873164537
310,Resident Evil: Retribution,240159255,42345531,197813724,2012.csv,2012,17.632271136084263,82.36772886391573
311,Planes,239258712,90288712,148970000,2013.csv,2013,37.73685448912724,62.26314551087276
312,Crazy Rich Asians,238532921,174532921,64000000,2018.csv,2018,73.16932198218458,26.830678017815412
313,Silver Linings Playbook,236412453,132092958,104319495,2012.csv,2012,55.87394247797937,44.12605752202063
314,Hidden Figures,235956898,169607287,66349611,2016.csv,2016,71.88062245164792,28.11937754835207
315,Spy,235666219,110825712,124840507,2015.csv,2015,47.02655835455145,52.97344164544856
316,American Reunion,234989584,57011521,177978063,2012.csv,2012,24.261297045404362,75.73870295459564
317,Alvin and the Chipmunks: The Road Chip,234798636,85886987,148911649,2015.csv,2015,36.578997418025885,63.421002581974115
318,The Imitation Game,233555708,91125683,142430025,2014.csv,2014,39.016679909188944,60.983320090811056
319,The Girl with the Dragon Tattoo,232617430,102515793,130101637,2011.csv,2011,44.070555246010585,55.92944475398941
320,Argo,232325503,136025503,96300000,2012.csv,2012,58.549535562611055,41.45046443738895
321,Annabelle Comes Home,231252591,74152591,157100000,2019.csv,2019,32.065626023623665,67.93437397637634
322,Ghostbusters,229147509,128350574,100796935,2016.csv,2016,56.01220565744837,43.98779434255163
323,Goodbye Mr. Loser,228122928,1293626,226829302,2015.csv,2015,0.5670740820931424,99.43292591790686
324,Paddington 2,227978523,40891591,187086932,2017.csv,2017,17.936597913655223,82.06340208634477
325,The Green Hornet,227817248,98780042,129037206,2011.csv,2011,43.35933423267408,56.64066576732593
326,Youth,227091290,1891956,225199334,2017.csv,2017,0.833125744276674,99.16687425572333
327,Baby Driver,226945087,107825862,119119225,2017.csv,2017,47.51187321362899,52.48812678637101
328,Immortals,226904017,83504017,143400000,2011.csv,2011,36.80147143450528,63.198528565494726
329,Hansel & Gretel: Witch Hunters,226349749,55703475,170646274,2013.csv,2013,24.60947062945495,75.39052937054504
330,Better Days,225918798,1921657,223997141,2019.csv,2019,0.8505963279779843,99.14940367202202
331,Valerian and the City of a Thousand Planets,225874228,41189488,184684740,2017.csv,2017,18.235585513545175,81.76441448645483
332,Ford v Ferrari,225508210,117624357,107883853,2019.csv,2019,52.1596783549477,47.840321645052306
333,Non-Stop,222809600,92168600,130641000,2014.csv,2014,41.36652998793589,58.633470012064116
334,Geostorm,221600160,33700160,187900000,2017.csv,2017,15.207642449355632,84.79235755064437
335,Inferno,220021259,34343574,185677685,2016.csv,2016,15.609207108482185,84.39079289151782
336,Green Lantern,219851172,116601172,103250000,2011.csv,2011,53.03641137742036,46.96358862257964
337,Captain Phillips,218791811,107100855,111690956,2013.csv,2013,48.951034552202685,51.048965447797315
338,Jack Reacher,218340595,80070736,138269859,2012.csv,2012,36.67239983476275,63.32760016523725
339,The Emoji Movie,217776646,86089513,131687133,2017.csv,2017,39.53110426725922,60.468895732740776
340,Dracula Untold,217124280,56280355,160843925,2014.csv,2014,25.92080213230874,74.07919786769126
341,Central Intelligence,216972543,127440871,89531672,2016.csv,2016,58.735943837833894,41.2640561621661
342,The Help,216639112,169708112,46931000,2011.csv,2011,78.33678343363962,21.663216566360372
343,Little Women,216601214,108101214,108500000,2019.csv,2019,49.90794465260938,50.09205534739062
344,Bad Teacher,216197492,100292856,115904636,2011.csv,2011,46.389463204318766,53.61053679568124
345,Ted 2,215863606,81476385,134387221,2015.csv,2015,37.744382441197615,62.25561755880239
346,Just Go with It,214945591,103028109,111917482,2011.csv,2011,47.93218066054679,52.067819339453216
347,The Expendables 3,214657577,39322544,175335033,2014.csv,2014,18.318730952599918,81.68126904740008
348,Creed II,214215889,115715889,98500000,2018.csv,2018,54.018350151421316,45.98164984857869
349,Smallfoot,214040103,83240103,130800000,2018.csv,2018,38.88995652370808,61.11004347629192
350,Into the Woods,212902372,128002372,84900000,2014.csv,2014,60.12256735213829,39.87743264786172
351,Bridget Jones's Baby,211952420,24252420,187700000,2016.csv,2016,11.442388815376583,88.55761118462343
352,Battle Los Angeles,211819354,83552429,128266925,2011.csv,2011,39.445134461131445,60.55486553886856
353,Fury,211817906,85817906,126000000,2014.csv,2014,40.51494400100433,59.48505599899566
354,Horrible Bosses,209838559,117538559,92300000,2011.csv,2011,56.01380392628411,43.98619607371589
355,Us and Them,209221380,0,209221380,2018.csv,2018,0.0,100.0
356,Tomorrowland,209035668,93436322,115599346,2015.csv,2015,44.698745861878464,55.301254138121536
357,Me Before You,208314186,56245075,152069111,2016.csv,2016,27.000117505199572,72.99988249480043
358,Safe House,208076205,126373434,81702771,2012.csv,2012,60.734207450582836,39.26579254941717
359,Paranormal Activity 3,207039844,104028807,103011037,2011.csv,2011,50.245790853667756,49.754209146332244
360,London Has Fallen,205754447,62524260,143230187,2016.csv,2016,30.387804935268303,69.6121950647317
361,Journey to the West,205637183,18058,205619125,2013.csv,2013,0.008781485788005567,99.991218514212
362,White House Down,205366737,73103784,132262953,2013.csv,2013,35.596701329485505,64.4032986705145
363,A Dog's Purpose,205035819,64508620,140527199,2017.csv,2017,31.46212223533489,68.53787776466511
364,Everest,203427584,43482270,159945314,2015.csv,2015,21.37481512831613,78.62518487168387
365,Arrival,203388186,100546139,102842047,2016.csv,2016,49.435584719753585,50.56441528024641
366,Need for Speed,203277636,43577636,159700000,2014.csv,2014,21.43749644943726,78.56250355056274
367,The Addams Family,203044905,100044905,103000000,2019.csv,2019,49.272305059809305,50.727694940190695
368,Straight Outta Compton,201634991,161197785,40437206,2015.csv,2015,79.94534291917617,20.054657080823834
369,21 Jump Street,201585328,138447667,63137661,2012.csv,2012,68.67943633278708,31.320563667212927
370,Percy Jackson: Sea of Monsters,199850315,68559554,131290761,2013.csv,2013,34.30545205795647,65.69454794204353
371,Total Recall,198467168,58877969,139589199,2012.csv,2012,29.6663521696445,70.33364783035549
372,The Island,198326350,670883,197655467,2018.csv,2018,0.3382722467286874,99.66172775327131
373,The Impossible,198087212,19019882,179067330,2012.csv,2012,9.601771769093302,90.3982282309067
374,Lost in Thailand,197757387,57387,197700000,2012.csv,2012,0.029018890707733717,99.97098110929227
375,Christopher Robin,197744377,99215042,98529335,2018.csv,2018,50.173382174098435,49.82661782590157
376,Jack the Giant Slayer,197687603,65187603,132500000,2013.csv,2013,32.97505863329225,67.02494136670776
377,Smurfs: The Lost Village,197183546,45020282,152163264,2017.csv,2017,22.831662637814617,77.16833736218538
378,The Other Woman,196710396,83911193,112799203,2014.csv,2014,42.65722336301941,57.34277663698059
379,The Vow,196114570,125014030,71100540,2012.csv,2012,63.745406575350316,36.254593424649684
380,The Shape of Water,195333312,63859435,131473877,2017.csv,2017,32.692547085875454,67.30745291412455
381,Rocketman,195320400,96368160,98952240,2019.csv,2019,49.33850227625993,50.66149772374007
382,The BFG,195243411,55483770,139759641,2016.csv,2016,28.417742609506035,71.58225739049396
383,The Intern,194564672,75764672,118800000,2015.csv,2015,38.940610965591944,61.05938903440805
384,Gnomeo & Juliet,193967670,99967670,94000000,2011.csv,2011,51.538315637858624,48.46168436214138
385,Weathering with You,193932489,8056636,185875853,2019.csv,2019,4.154350847319863,95.84564915268014
386,Downton Abbey,193795496,96854135,96941361,2019.csv,2019,49.97749534901472,50.02250465098529
387,The Monkey King 2,193678298,709982,192968316,2016.csv,2016,0.3665779838689,99.6334220161311
388,The Equalizer,192330738,101530738,90800000,2014.csv,2014,52.789657574131496,47.210342425868504
389,The Lego Movie 2: The Second Part,192306508,105806508,86500000,2019.csv,2019,55.01972299346208,44.98027700653792
390,Sheep Without a Shepherd,191602146,0,191602146,2019.csv,2019,0.0,100.0
391,The Equalizer 2,190400157,102084362,88315795,2018.csv,2018,53.615692134119406,46.384307865880594
392,The White Storm 2: Drug Lords,189396380,609461,188786919,2019.csv,2019,0.3217912612690908,99.67820873873092
393,Breakup Buddies,189017596,777896,188239700,2014.csv,2014,0.41154686995384276,99.58845313004616
394,The Secret Life of Walter Mitty,188133322,58236838,129896484,2013.csv,2013,30.955089391341318,69.04491060865868
395,Project Gutenberg,188116796,0,188116796,2018.csv,2018,0.0,100.0
396,12 Years a Slave,187733202,56671993,131061209,2013.csv,2013,30.187517389704993,69.812482610295
397,Mr. Popper's Penguins,187361754,68224452,119137302,2011.csv,2011,36.413222305764705,63.586777694235295
398,Jian Bing Man,186683536,0,186683536,2015.csv,2015,0.0,100.0
399,Hugo,185770160,73864507,111905653,2011.csv,2011,39.761233451055865,60.238766548944135
400,The Lion King 2011 3D Release,185542001,94242001,91300000,2011.csv,2011,50.792812674258045,49.20718732574195
401,Pitch Perfect 3,185400345,104897530,80502815,2017.csv,2017,56.57892923554161,43.42107076445839
402,Hop,183953723,108085305,75868418,2011.csv,2011,58.75679123928359,41.24320876071641
403,Bad Moms,183936074,113257297,70678777,2016.csv,2016,61.574271178583494,38.42572882141651
404,Jupiter Ascending,183887723,47387723,136500000,2015.csv,2015,25.769922117095334,74.23007788290467
405,Stand by Me Doraemon,183442714,0,183442714,2014.csv,2014,0.0,100.0
406,Storks,183388953,72679278,110709675,2016.csv,2016,39.63121922616571,60.36878077383429
407,Mirror Mirror,183018522,64935167,118083355,2012.csv,2012,35.48010676209045,64.51989323790956
408,From Vegas to Macau III,181732879,0,181732879,2016.csv,2016,0.0,100.0
409,Daddy's Home 2,180613180,104029443,76583737,2017.csv,2017,57.597924470406866,42.402075529593134
410,Hacksaw Ridge,180563636,67209615,113354021,2016.csv,2016,37.22212095906177,62.77787904093823
411,The Post,179769457,81903458,97865999,2017.csv,2017,45.56027445752367,54.439725542476324
412,The Dictator,179379533,59650222,119729311,2012.csv,2012,33.25363880839181,66.74636119160819
413,Allegiant,179246868,66184051,113062817,2016.csv,2016,36.923407219589464,63.076592780410536
414,Abominable,179053956,60716390,118337566,2019.csv,2019,33.909549588505044,66.09045041149496
415,Baywatch,177856751,58060186,119796565,2017.csv,2017,32.644353207599075,67.35564679240092
416,War Horse,177584879,79884879,97700000,2011.csv,2011,44.98405463902137,55.01594536097863
417,Lee Daniels' The Butler,177313795,116632095,60681700,2013.csv,2013,65.77722562421046,34.22277437578954
418,The Descendants,177243185,82584160,94659025,2011.csv,2011,46.59370119082435,53.40629880917566
419,The Hitman's Bodyguard,176586701,75468583,101118118,2017.csv,2017,42.73741033306919,57.26258966693081
420,Looper,176506819,66486205,110020614,2012.csv,2012,37.6677826820957,62.3322173179043
421,Serial (Bad) Weddings,176404493,0,176404493,2014.csv,2014,0.0,100.0
422,Ip Man 4: The Finale,176345966,3956031,172389935,2019.csv,2019,2.243335126815433,97.75666487318456
423,The Monkey King Havoc in Heavens Palace,175835580,0,175835580,2014.csv,2014,0.0,100.0
424,Cowboys & Aliens,174822325,100240551,74581774,2011.csv,2011,57.33852984737504,42.66147015262496
425,The Mule,174804407,103804407,71000000,2018.csv,2018,59.383175047754946,40.616824952245054
426,Identity Thief,173965010,134506920,39458090,2013.csv,2013,77.31837568945618,22.681624310543828
427,The Nutcracker and the Four Realms,173961069,54858851,119102218,2018.csv,2018,31.53513100106323,68.46486899893677
428,In Time,173930596,37520095,136410501,2011.csv,2011,21.5718774401256,78.4281225598744
429,Operation Mekong,173839072,800012,173039060,2016.csv,2016,0.46020264075040623,99.53979735924959
430,Creed,173567581,109767581,63800000,2015.csv,2015,63.241983536084426,36.758016463915574
431,Gemini Man,173469516,48546770,124922746,2019.csv,2019,27.98576436911255,72.01423563088744
432,The Girl on the Train,173185859,75395035,97790824,2016.csv,2016,43.5341750390833,56.4658249609167
433,The Grand Budapest Hotel,172936941,59301324,113635617,2014.csv,2014,34.2907210322403,65.7092789677597
434,Spies in Disguise,171616764,66757013,104859751,2019.csv,2019,38.89888810629246,61.10111189370754
435,John Wick: Chapter 2,171539887,92029184,79510703,2017.csv,2017,53.6488542749244,46.3511457250756
436,Anchorman 2: The Legend Continues,171464676,125168368,46296308,2013.csv,2013,72.99950690718362,27.00049309281639
437,Chinese Zodiac,170525083,0,170525083,2012.csv,2012,0.0,100.0
438,Olympus Has Fallen,170270201,98925640,71344561,2013.csv,2013,58.09920903305916,41.90079096694083
439,Zookeeper,169852759,80360843,89491916,2011.csv,2011,47.312062207950355,52.687937792049645
440,Dumb and Dumber To,169837010,86208010,83629000,2014.csv,2014,50.75926030492411,49.24073969507589
441,Ghost in the Shell,169801921,40563557,129238364,2017.csv,2017,23.888750351652384,76.11124964834762
442,Insidious: The Last Key,167885588,67745330,100140258,2018.csv,2018,40.35208191902691,59.64791808097309
443,Fantastic Four,167882881,56117548,111765333,2015.csv,2015,33.426605301108694,66.5733946988913
444,Magic Mike,167739368,113721571,54017797,2012.csv,2012,67.79658964733908,32.203410352660924
445,Bridge of Spies,165478348,72313754,93164594,2015.csv,2015,43.69982833041094,56.30017166958906
446,The Muppets,165184237,88631237,76553000,2011.csv,2011,53.655989584526765,46.34401041547324
447,The Huntsman: Winter's War,164989338,48390190,116599148,2016.csv,2016,29.32928308373478,70.67071691626522
448,From Vegas to Macau II,163877532,0,163877532,2015.csv,2015,0.0,100.0
449,The Magnificent Seven,162360636,93432655,68927981,2016.csv,2016,57.54637164638847,42.45362835361152
450,Jack Reacher: Never Go Back,162146076,58697076,103449000,2016.csv,2016,36.20012117962077,63.79987882037922
451,Insidious: Chapter 2,161919318,83586447,78332871,2013.csv,2013,51.62228203060983,48.37771796939016
452,Limitless,161849455,79249455,82600000,2011.csv,2011,48.9649192825518,51.0350807174482
453,Flight,161772375,93772375,68000000,2012.csv,2012,57.96562917494411,42.03437082505588
454,Into the Storm,161502194,47602194,113900000,2014.csv,2014,29.474642307336087,70.52535769266392
455,Unbroken,161459297,115637895,45821402,2014.csv,2014,71.62046233856698,28.379537661433023
456,The Predator,160542134,51024708,109517426,2018.csv,2018,31.782751810188348,68.21724818981166
457,"Three Billboards Outside Ebbing, Missouri",160192031,54513740,105678291,2017.csv,2017,34.03024461310438,65.96975538689563
458,Underworld: Awakening,160112671,62321039,97791632,2012.csv,2012,38.92323987275186,61.07676012724814
459,Johnny English Reborn,160078586,8305970,151772616,2011.csv,2011,5.188682763602123,94.81131723639787
460,Happy Feet Two,159196259,64006466,95189793,2011.csv,2011,40.20601137367179,59.79398862632821
461,Johnny English Strikes Again,158970776,4412170,154558606,2018.csv,2018,2.7754598115568108,97.22454018844319
462,Focus,158762963,53862963,104900000,2015.csv,2015,33.92665517334795,66.07334482665205
463,Goosebumps,158260952,80080379,78180573,2015.csv,2015,50.60021312142745,49.39978687857255
464,Final Destination 5,157887643,42587643,115300000,2011.csv,2011,26.973385751283907,73.02661424871609
465,Don't Breathe,157761002,89217875,68543127,2016.csv,2016,56.55255346311758,43.44744653688242
466,Hustlers,157563598,104963598,52600000,2019.csv,2019,66.61665469203109,33.383345307968916
467,Ip Man 3,156954938,2679437,154275501,2015.csv,2015,1.7071377518558861,98.2928622481441
468,The Climbers,156892866,487157,156405709,2019.csv,2019,0.31050296448788184,99.68949703551212
469,This Means War,156491279,54760791,101730488,2012.csv,2012,34.99287075288074,65.00712924711925
470,The Hateful Eight,155760117,54117416,101642701,2015.csv,2015,34.74407765114866,65.25592234885134
471,Escape Room,155712077,57005601,98706476,2019.csv,2019,36.60962084527329,63.39037915472671
472,The Monuments Men,155641650,78031620,77610030,2014.csv,2014,50.13543611237738,49.86456388762262
473,The Accountant,155160045,86260045,68900000,2016.csv,2016,55.594238194504264,44.405761805495736
474,Lone Survivor,154802912,125095601,29707311,2013.csv,2013,80.80959161801815,19.190408381981857
475,Yesterday,154608507,73286650,81321857,2019.csv,2019,47.401434385496,52.59856561450399
476,Ride Along,154468902,134938200,19530702,2014.csv,2014,87.35622397315933,12.643776026840664
477,Monkey King: Hero Is Back,153262397,0,153262397,2015.csv,2015,0.0,100.0
478,Tower Heist,152930623,78046570,74884053,2011.csv,2011,51.03397113604906,48.966028863950946
479,Duckweed,152894264,471575,152422689,2017.csv,2017,0.30843210704098095,99.69156789295901
480,Bad Grandpa,151826547,102003019,49823528,2013.csv,2013,67.18391547164674,32.816084528353265
481,47 Ronin,151783839,38362475,113421364,2013.csv,2013,25.274413437388414,74.72558656261158
482,Midnight in Paris,151672318,56817045,94855273,2011.csv,2011,37.46039208024763,62.53960791975237
483,Red Sparrow,151572634,46874505,104698129,2018.csv,2018,30.925440670246584,69.07455932975341
484,Darkest Hour,150847207,56468410,94378797,2017.csv,2017,37.43417668979446,62.56582331020554
485,Gods of Egypt,150680864,31153464,119527400,2015.csv,2015,20.675129656808977,79.32487034319102
486,I Am Number Four,149878437,55100437,94778000,2011.csv,2011,36.76341847626821,63.23658152373179
487,Jack and Jill,149673788,74158157,75515631,2011.csv,2011,49.54652246791535,50.45347753208465
488,Friends with Benefits,149542245,55802754,93739491,2011.csv,2011,37.31571235940721,62.68428764059279
489,No Strings Attached,149228077,70662220,78565857,2011.csv,2011,47.3518264260686,52.6481735739314
490,Lights Out,148868835,67268835,81600000,2016.csv,2016,45.186647023871714,54.813352976128286
491,King Arthur: Legend of the Sword,148675066,39175066,109500000,2017.csv,2017,26.34945257061463,73.65054742938537
492,RED 2,148075565,53262560,94813005,2013.csv,2013,35.969850933879606,64.0301490661204
493,The Angry Birds Movie 2,147792047,41667116,106124931,2019.csv,2019,28.19307049722371,71.80692950277628
494,Arthur Christmas,147419472,46462469,100957003,2011.csv,2011,31.517185870805452,68.48281412919455
495,Source Code,147332697,54712227,92620470,2011.csv,2011,37.135156088264644,62.864843911735356
496,Planes: Fire & Rescue,146965787,59165787,87800000,2014.csv,2014,40.258204448631304,59.7417955513687
497,The Last Witch Hunter,146936910,27367660,119569250,2015.csv,2015,18.625449521158437,81.37455047884157
498,Angel Has Fallen,146661977,69030436,77631541,2019.csv,2019,47.0677113537069,52.9322886462931
499,Mama,146428180,71628180,74800000,2013.csv,2013,48.916936616981786,51.083063383018214
500,Time Raiders,145819137,0,145819137,2016.csv,2016,0.0,100.0
501,The Foreigner,145374099,34393507,110980592,2017.csv,2017,23.658620921186245,76.34137907881376
502,"Crazy, Stupid, Love.",145051197,84351197,60700000,2011.csv,2011,58.15270659227997,41.84729340772003
503,Pete's Dragon,143695338,76233151,67462187,2016.csv,2016,53.05193060612725,46.94806939387275
504,More Than Blue,142958164,722669,142235495,2018.csv,2018,0.5055108290282743,99.49448917097172
505,Paranormal Activity 4,142802657,53885000,88917657,2012.csv,2012,37.733891744045074,62.26610825595493
506,Power Rangers,142337240,85364450,56972790,2017.csv,2017,59.97337731151735,40.02662268848265
507,New Year's Eve,142044638,54544638,87500000,2011.csv,2011,38.399645891596414,61.600354108403586
508,The Taking of Tiger Mountain,141654055,228984,141425071,2014.csv,2014,0.16165015537324365,99.83834984462676
509,Trainwreck,140795793,110212700,30583093,2015.csv,2015,78.27840424180856,21.72159575819144
510,Sausage Party,140705322,97685686,43019636,2016.csv,2016,69.42572221966131,30.574277780338686
511,Girls Trip,140552359,115171585,25380774,2017.csv,2017,81.94212165446473,18.057878345535276
512,Step Up Revolution,140470746,35074677,105396069,2012.csv,2012,24.969381881121354,75.03061811887865
513,Lion,140312928,51738905,88574023,2016.csv,2016,36.87394008341127,63.12605991658873
514,Mr. Six,139191345,1415450,137775895,2015.csv,2015,1.0169094924688027,98.9830905075312
515,The Admiral: Roaring Currents,138342258,2589811,135752447,2014.csv,2014,1.8720317547513212,98.12796824524868
516,Let's Be Cops,138224951,82390774,55834177,2014.csv,2014,59.606296405921675,40.393703594078325
517,Escape Plan,137328301,25135965,112192336,2013.csv,2013,18.303557836923943,81.69644216307606
518,The First Purge,137056262,69488745,67567517,2018.csv,2018,50.70089026650968,49.299109733490326
519,Annie,136853506,85911262,50942244,2014.csv,2014,62.77607677804031,37.223923221959694
520,The Best Exotic Marigold Hotel,136836156,46412041,90424115,2012.csv,2012,33.91796609662142,66.08203390337857
521,How Long Will I Love U,136796719,746933,136049786,2018.csv,2018,0.5460167505918033,99.4539832494082
522,Skiptrace,136579287,0,136579287,2016.csv,2016,0.0,100.0
523,Contagion,136515867,75658097,60857770,2011.csv,2011,55.42073508568788,44.57926491431212
524,The Wind Rises,136454220,5209580,131244640,2012.csv,2012,3.8178225634941887,96.18217743650581
525,Unknown,135710029,63686397,72023632,2011.csv,2011,46.92829076029451,53.07170923970549
526,Jack Ryan: Shadow Recruit,135503748,50577412,84926336,2014.csv,2014,37.32547087922616,62.67452912077383
527,American Made,134866593,51342000,83524593,2017.csv,2017,38.06873063072039,61.931269369279605
528,Last Vegas,134402450,63914167,70488283,2012.csv,2012,47.55431690419334,52.44568309580666
529,Point Break,133718711,28782481,104936230,2015.csv,2015,21.524647362178058,78.47535263782194
530,The Big Short,133440870,70259870,63181000,2015.csv,2015,52.652436993254014,47.347563006745986
531,The Artist,133432856,44671682,88761174,2011.csv,2011,33.478772274798644,66.52122772520136
532,Zero Dark Thirty,132820716,95720716,37100000,2012.csv,2012,72.06761029657453,27.932389703425482
533,A Wrinkle in Time,132675864,100478608,32197256,2018.csv,2018,75.73239394921144,24.267606050788558
534,Ghost Rider: Spirit of Vengeance,132563930,51774002,80789928,2012.csv,2012,39.05587439961987,60.94412560038014
535,The Three Musketeers,132274484,20374484,111900000,2011.csv,2011,15.403185394395491,84.59681460560451
536,2 Guns,131940411,75612460,56327951,2013.csv,2013,57.30803733815867,42.69196266184134
537,The House with a Clock in Its Walls,131457147,68549695,62907452,2018.csv,2018,52.146038891289805,47.8539611087102
538,A Bad Moms Christmas,130560428,72110659,58449769,2017.csv,2017,55.23163496369665,44.768365036303344
539,Cloud Atlas,130482868,27108272,103374596,2012.csv,2012,20.77534960375028,79.22465039624971
540,The Woman in Black,128955898,54333290,74622608,2012.csv,2012,42.13323379749564,57.86676620250436
541,Pan,128388320,35088320,93300000,2015.csv,2015,27.329838103653042,72.67016189634695
542,Blended,127994610,46294610,81700000,2014.csv,2014,36.169187124364065,63.830812875635935
543,Ad Astra,127461872,50188370,77273502,2019.csv,2019,39.3752023350167,60.6247976649833
544,Midway,127420861,56846802,70574059,2019.csv,2019,44.61341852022174,55.386581479778265
545,Chronicle,126636097,64575175,62060922,2012.csv,2012,50.99270786906833,49.007292130931674
546,Walking with Dinosaurs 3D,126546518,36076121,90470397,2012.csv,2012,28.508189375862557,71.49181062413744
547,Sex Tape,126069509,38543473,87526036,2014.csv,2014,30.573191968249837,69.42680803175017
548,This Is the End,126041322,101470202,24571120,2013.csv,2013,80.50550437736602,19.49449562263398
549,The Upside,125852517,108252517,17600000,2019.csv,2019,86.0153770305603,13.984622969439698
550,Detective Chinatown,125842935,474252,125368683,2015.csv,2015,0.3768602504383738,99.62313974956163
551,Wolf Totem,125837070,210591,125626479,2015.csv,2015,0.16735211651065937,99.83264788348934
552,Mechanic: Resurrection,125729635,21218403,104511232,2016.csv,2016,16.87621458536804,83.12378541463195
553,Ender's Game,125544024,61737191,63806833,2013.csv,2013,49.17573057878087,50.82426942121913
554,Happy Death Day,125479266,55683845,69795421,2017.csv,2017,44.37692917330263,55.62307082669737
555,Captain Underpants: The First Epic Movie,125427681,73921000,51506681,2017.csv,2017,58.93515642691345,41.06484357308655
556,Ride Along 2,124605297,91221830,33383467,2015.csv,2015,73.20862932496361,26.79137067503639
557,The Theory of Everything,123726688,35893537,87833151,2014.csv,2014,29.01034334645731,70.98965665354268
558,The Curse of La Llorona,123133739,54733739,68400000,2019.csv,2019,44.45064321485438,55.54935678514562
559,The Lego Ninjago Movie,123081555,59281555,63800000,2017.csv,2017,48.164450798496986,51.835549201503014
560,The Pirates! Band of Misfits,123054041,31051126,92002915,2012.csv,2012,25.233731251458863,74.76626874854114
561,Looking Up,122994583,84267,122910316,2019.csv,2019,0.06851277344466462,99.93148722655533
562,Zombieland: Double Tap,122810399,73123082,49687317,2019.csv,2019,59.54144160056023,40.458558399439774
563,Dragon Blade,122593849,74068,122519781,2015.csv,2015,0.06041738684621934,99.93958261315377
564,Prisoners,122126687,61002302,61124385,2013.csv,2013,49.950017885935125,50.04998211406488
565,Secret Superstar,122026260,0,122026260,2017.csv,2017,0.0,100.0
566,Deepwater Horizon,121790373,61433527,60356846,2016.csv,2016,50.44202221139433,49.557977788605676
567,Last Christmas,121550750,35150750,86400000,2019.csv,2019,28.91857927655732,71.08142072344268
568,The Nut Job,120885527,64251541,56633986,2014.csv,2014,53.150730773585494,46.849269226414506
569,Instant Family,120556201,67363237,53192964,2018.csv,2018,55.87704028596588,44.122959714034124
570,We Bought a Zoo,120081841,75624550,44457291,2011.csv,2011,62.977507148645394,37.022492851354606
571,The Commuter,119942387,36343858,83598529,2017.csv,2017,30.301096142100292,69.69890385789971
572,Extreme Job,119932733,1565885,118366848,2019.csv,2019,1.3056360518358237,98.69436394816418
573,Parental Guidance,119772232,77267296,42504936,2012.csv,2012,64.51186114658029,35.48813885341971
574,Dora and the Lost City of Gold,119682635,60477943,59204692,2019.csv,2019,50.5319280445321,49.46807195546789
575,Wonder Park,119559110,45216793,74342317,2019.csv,2019,37.81961324402632,62.180386755973686
