Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
62,Fast & Furious 6,788679850,238679850,550000000,2013.csv,2013,30.263211365169273,69.73678863483073
63,Deadpool,782612155,363070709,419541446,2016.csv,2016,46.392163305973696,53.607836694026304
64,Guardians of the Galaxy,772776600,333176600,439600000,2014.csv,2014,43.11421955581988,56.885780444180114
65,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,585100000,2019.csv,2019,22.917508157671993,77.08249184232801
66,Maleficent,758410378,241410378,517000000,2014.csv,2014,31.831101604466706,68.16889839553329
67,The Amazing Spider-Man,757930663,262030663,495900000,2012.csv,2012,34.57185146235467,65.42814853764533
68,The Hunger Games: Mockingjay - Part 1,755356711,337135885,418220826,2014.csv,2014,44.632672231596814,55.367327768403186
69,Madagascar 3: Europe's Most Wanted,746921274,216391482,530529792,2012.csv,2012,28.971123133386612,71.02887686661339
70,Suicide Squad,746846894,325100054,421746840,2016.csv,2016,43.52967878848808,56.47032121151193
71,X-Men: Days of Future Past,746045700,233921534,512124166,2014.csv,2014,31.35485319465014,68.64514680534985
72,Monsters University,743559607,268492764,475066843,2013.csv,2013,36.10911102114238,63.89088897885762
73,Deadpool 2,734546611,318491426,416055185,2018.csv,2018,43.35891299891927,56.64108700108073
74,Ne Zha,726063471,3695533,722367938,2019.csv,2019,0.5089820859476899,99.49101791405232
75,Gravity,723192705,274092705,449100000,2013.csv,2013,37.90036916923823,62.09963083076177
76,Captain America: The Winter Soldier,714421503,259766572,454654931,2014.csv,2014,36.360407813760894,63.63959218623911
77,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,430918723,2011.csv,2011,39.4952008089077,60.5047991910923
78,Dawn of the Planet of the Apes,710644566,208545589,502098977,2014.csv,2014,29.345976734028806,70.65402326597119
79,The Amazing Spider-Man 2,708982323,202853933,506128390,2014.csv,2014,28.611987410580337,71.38801258941967
80,It,700381748,327481748,372900000,2017.csv,2017,46.757607395559944,53.242392604440056
81,The Wandering Earth,699856699,5971413,693885286,2019.csv,2019,0.8532336703402763,99.14676632965971
82,Mission: Impossible - Ghost Protocol,694713380,209397903,485315477,2011.csv,2011,30.141625169217267,69.85837483078274
